Termo de Busca,Ranking de Busca,ID do Anuncio,Titulo,Marca,Categoria,Preco (R$),Preco Original (R$),Desconto (%),Avaliacao (0-5),Qtd Avaliacoes,Vendas Estimadas,Faturamento Estimado (R$),Frete Gratis,FULL,Localizacao,Garantia,Link
Mix De Sementes Abóbora Girassol,5,MLB6470520580,Mix De Sementes Abóbora/ Linhaça/girassol/gergelim/chia 500g,King Nuts,Sementes,26.5,41.99,37,0,0,0,0,Nao,Sim,"Sorocaba, São Paulo",Garantia do vendedor: 2 meses,https://produto.mercadolivre.com.br/MLB-6470520580
Mix De Sementes Abóbora Girassol,6,MLB3806819395,Mix De Sementes Abóbora/girassol/chia/linhaça/gergelim 1kg,Casa Bela,Sementes,31.9,37.9,16,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3806819395
Mix De Sementes Abóbora Girassol,7,MLB5768590444,1kg Mix De Sementes Abóbora Girassol Chia Linhaça Gergelim,MUNDO NUTRI,Sementes,26.99,39.99,33,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5768590444
Mix De Sementes Abóbora Girassol,8,MLB4568413045,Mix De Sementes Abóbora/girassol/chia/linhaça/gergelim 500g,Requena,Sementes,20.8,21.9,5,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4568413045
Mix De Sementes Abóbora Girassol,9,MLB4327354623,Mix De Sementes Abóbora/girassol/chia/linhaça/gergelim 1kg,Empório Metas,Sementes,29.4,60,51,0,0,0,0,Nao,Sim,"Diadema, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4327354623
Mix De Sementes Abóbora Girassol,10,MLB5863076058,500g Mix De Sementes Abóbora Girassol Chia Linhaça Gergelim,MUNDO NUTRI,Sementes,18.29,29.99,39,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5863076058
Mix De Sementes Abóbora Girassol,11,MLB4700121639,Mix Sementes Linhaça Dourada E Semente Chia 1kg,Sauce,Sementes,31.9,31.9,0,0,0,0,0,Nao,Sim,"Potirendaba, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4700121639
Mix De Sementes Abóbora Girassol,12,MLB4818899106,Mix De Sementes Abóbora/girassol/chia/linhaça/gergelim - Paulistana Empório - 1kg,Paulistana Empório,Sementes,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4818899106
Mix De Sementes Abóbora Girassol,13,MLB5709617014,Mix De Sementes Abóbora/girassol/chia/linhaça/gergelim - Paulistana Empório - 500g,Paulistana Empório,Sementes,15.99,15.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5709617014
Mix De Sementes Abóbora Girassol,14,MLB5709434668,Mix Sementes Linhaça Dourada E Semente Chia Premium 1kg,Rótulo do Bem,Sementes,26.94,36.5,26,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5709434668
Mix De Sementes Abóbora Girassol,15,MLB4252085319,Mix Grãos Aveia Gergelim Girassol Linhaça Chia Abobora 180g,Sésamo Real,Sementes,14.9,24.8,40,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4252085319
Mix De Sementes Abóbora Girassol,16,MLB5219450684,Snack Mix Sementes Pacote 1.010kg Brasil Frutt,Brasil Frutt,Frutas Secas,97.56,97.56,0,0,0,0,0,Nao,Sim,"Cajamar, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5219450684
Mix Frutas Vermelhas 500g,1,MLB3942478723,Mix Frutas Vermelhas - 500g,Paulistana Empório,Frutas Secas,38.99,38.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3942478723
Mix Frutas Vermelhas 500g,2,MLB6028219958,Mix Frutas Vermelhas - 200g,Paulistana Empório,Frutas Secas,21.99,21.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6028219958
Mix Frutas Vermelhas 500g,3,MLB4456074761,Mix Frutas Desidratadas - Paulistana Empório - 500g,Paulistana Empório,Frutas Secas,29.99,29.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4456074761
Mix Frutas Vermelhas 500g,4,MLB5827074450,Mix Frutas Tropicais Liofilizadas Chips 500g,Barelle,Frutas Secas,74,129.9,43,0,0,0,0,Nao,Sim,"São Caetano do Sul, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5827074450
Mix Frutas Vermelhas 500g,5,MLB5768728126,500g Mix Frutas Tropicais Chips Natural Desidratadas,Armazém Bezerra,Frutas Secas,78.9,150,47,0,0,0,0,Nao,Sim,"Diadema, São Paulo",Garantia de fábrica: 7 dias,https://produto.mercadolivre.com.br/MLB-5768728126
Mix Frutas Vermelhas 500g,6,MLB6574518752,Super Mix Frutas Tropicais Desidratadas Chips Natural - 500g,Sabore,Frutas Secas,101.4,138.9,27,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-6574518752
Mix Frutas Vermelhas 500g,7,MLB6327417974,Mix De Frutas Vermelhas 500g Premium,Requena,Frutas Secas,73.44,79,7,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-6327417974
Mix Frutas Vermelhas 500g,8,MLB4592611321,Mix Frutas Tropicais Secas Sem Açúcar 500g King Nuts,King Nuts,Frutas Secas,46.71,68,31,0,0,0,0,Nao,Sim,"Sorocaba, São Paulo",Garantia do vendedor: 2 meses,https://produto.mercadolivre.com.br/MLB-4592611321
Mix Frutas Vermelhas 500g,9,MLB5515708840,Mix Frutas Desidratadas - Paulistana Empório - 1kg,Paulistana Empório,Frutas Secas,49.99,49.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5515708840
Mix Frutas Vermelhas 500g,10,MLB6216586598,Kit Mix Vegetais + Mix Frutas Tropicais - 100g Cada,Paulistana Empório,Snacks Salgados,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6216586598
Mix Frutas Vermelhas 500g,11,MLB6857590076,Kit Mix Vegetais + Mix Frutas Tropicais - 200g Cada,Paulistana Empório,Snacks Salgados,50,50,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6857590076
Mix Frutas Vermelhas 500g,12,MLB5885295160,Mix Frutas Tropicais Liofilizadas Chips 1kg,Barelle,Frutas Secas,214.4,229.9,7,0,0,0,0,Nao,Sim,"São Caetano do Sul, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5885295160
Mix Frutas Vermelhas 500g,13,MLB4277604327,Mix Frutas Tropicais Liofilizadas Chips 250g,Barelle,Frutas Secas,36,59.9,40,0,0,0,0,Nao,Sim,"São Caetano do Sul, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4277604327
Mix Frutas Vermelhas 500g,14,MLB6732986180,Mix Frutas Tropicais Liofilizadas Chips 250g,Barelle,Frutas Secas,42,64.9,35,0,0,0,0,Nao,Sim,"São Caetano do Sul, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6732986180
Mix Frutas Vermelhas 500g,15,MLB4698129291,Mix Frutas Secas 1 Kg - Brasil Frutt,Brasil Frutt,Frutas Secas,99.99,99.99,0,0,0,0,0,Nao,Sim,"Jundiaí, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4698129291
Mix Frutas Vermelhas 500g,16,MLB3858568488,Mix Frutas Secas 1 Kg - Brasil Frutt,Brasil Frutt,Frutas Secas,109.9,109.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3858568488
Mix Frutas Vermelhas 500g,17,MLB4745119445,Mix Frutas Tropicais 100g Snack Saudável Crocante,Cajus Delícias,Frutas Secas,28.9,48.9,41,0,0,0,0,Nao,Sim,"Arujá, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4745119445
Canela Em Pau 6cm 1kg,1,MLB5433016732,Canela Em Pau Premium 6cm 1kg,Rotulo do Bem,Especiarias,74.82,78.97,5,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5433016732
Canela Em Pau 6cm 1kg,2,MLB5653551864,Canela Em Pau 6cm - Paulistana Empório - 1kg,Genérico,Especiarias,59.99,59.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5653551864
Canela Em Pau 6cm 1kg,3,MLB4592629479,Canela Em Pau 6cm 500g,Terra Cerealista,Especiarias,33.9,54.9,38,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4592629479
Canela Em Pau 6cm 1kg,4,MLB4651468802,Canela Em Pau 6cm 500g Premium,Casa Bela,Especiarias,33.85,57.9,42,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4651468802
Canela Em Pau 6cm 1kg,5,MLB3240213873,1kg Canela Em Pau 6cm Vera Original | Drasen Food,Drasen Food Ingredients,Especiarias,66.9,103.5,35,0,0,0,0,Nao,Sim,"Vargem Grande Paulista, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3240213873
Canela Em Pau 6cm 1kg,6,MLB3795645313,Canela Em Pau 200g,Requena,Especiarias,18.56,29.9,38,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3795645313
Canela Em Pau 6cm 1kg,7,MLB3316318976,500g Canela Em Pau 6cm Vera Drasen Food Ingredients,Drasen Food Ingredients,Especiarias,34.1,55.9,39,0,0,0,0,Nao,Sim,"Vargem Grande Paulista, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-3316318976
Canela Em Pau 6cm 1kg,8,MLB6727233598,Canela em Pau 6cm Pau Rotulo do Bem 1 unidad,Rotulo do Bem,Especiarias,42.19,64.9,35,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-6727233598
Canela Em Pau 6cm 1kg,9,MLB4951433506,Canela Em Pau 1kg Premium Casa Bela,Requena,Especiarias,58,114.9,50,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4951433506
Canela Em Pau 6cm 1kg,10,MLB4413143516,Canela Em Pó 1kg,HI NATURAL,Especiarias,16.73,23.9,30,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4413143516
Canela Em Pau 6cm 1kg,11,MLB4427373474,Canela Em Pau Casca 6cm Inteira Aa Premium 1 Kg,Niyati,Especiarias,65.95,84.84,22,0,0,0,0,Nao,Sim,"Junqueirópolis, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4427373474
Canela Em Pau 6cm 1kg,12,MLB5653812218,Canela Em Pau 250g Casca Inteira Premium Aa 6cm Indonésia,Empório Madoxx Distribuidora,Especiarias,18.99,18.99,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5653812218
Canela Em Pau 6cm 1kg,13,MLB4654841954,Canela Em Pó 1kg,Teka alimentos,Especiarias,19.12,23.9,20,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4654841954
Canela Em Pau 6cm 1kg,14,MLB3907637655,Canela Em Pau Premium Jawa 6cm 30g - No Pote Pet - Natural Spices,Natural Spices,Especiarias,8.54,8.99,5,0,0,0,0,Nao,Sim,"Itupeva, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3907637655
Folha De Louro 500g,1,MLB4056713325,Folha De Louro - 500g - Paulistana Empório,Paulistana Empório,Especiarias,24.99,24.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4056713325
Folha De Louro 500g,2,MLB4654804524,Louro Folha 250g,Teka alimentos,Especiarias,16.07,18.9,15,0,0,0,0,Nao,Sim,"São Bernardo do Campo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4654804524
Folha De Louro 500g,3,MLB4466354031,Louro Em Folha 100gr,Forte do Grão,Tempero,12.96,14.9,13,0,0,0,0,Nao,Sim,"Duque de Caxias, Rio de Janeiro",Sem garantia,https://produto.mercadolivre.com.br/MLB-4466354031
Folha De Louro 500g,4,MLB5382881056,Folha De Louro - 200g - Paulistana Empório,Paulistana Empório,Especiarias,11.99,11.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-5382881056
Folha De Louro 500g,5,MLB4060939563,Folha De Louro - 1kg - Paulistana Empório,Paulistana Empório,Especiarias,45.99,45.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4060939563
Laranja Desidratada Rodelas 200g,1,MLB4037707899,Laranja Desidratada (rodelas/fatias) - 200g,Paulistana Empório,Frutas Secas,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4037707899
Laranja Desidratada Rodelas 200g,2,MLB6177458824,Laranja Desidratada (rodelas/fatias) - 1kg,Paulistana Empório,Frutas Secas,94.99,94.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6177458824
Laranja Desidratada Rodelas 200g,3,MLB4426398823,Laranja Desidratada (rodelas/fatias) - 500g,Paulistana Empório,Frutas Secas,54.99,54.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4426398823
Laranja Desidratada Rodelas 200g,4,MLB6666344758,Laranja Desidratada Rodelas Para Drinks Gin Aperol - 500g,Vibe Naturais,Frutas Secas,54.9,77.9,30,0,0,0,0,Nao,Sim,"Birigui, São Paulo",Garantia de fábrica: 4 meses,https://produto.mercadolivre.com.br/MLB-6666344758
Laranja Desidratada Rodelas 200g,5,MLB4029589371,Limão Desidratado E Laranja Desidratada - 200g Cada,Vibe Naturais,Frutas Secas,54.9,54.9,0,0,0,0,0,Nao,Sim,"Birigui, São Paulo",Garantia do vendedor: 6 meses,https://produto.mercadolivre.com.br/MLB-4029589371
Laranja Desidratada Rodelas 200g,6,MLB4912382208,Casca De Laranja Desidratada Cristalizada 500g,Empório Juliana,Frutas Secas,74.5,74.5,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4912382208
Laranja Desidratada Rodelas 200g,7,MLB5035368106,Laranja Em Rodelas Desidratada Para Gin Drinks Chás - 200g,Vibe Naturais,Frutas Secas,29.09,42.9,32,0,0,0,0,Nao,Sim,"Birigui, São Paulo",Garantia de fábrica: 4 meses,https://produto.mercadolivre.com.br/MLB-5035368106
Limão Desidratado Rodelas,1,MLB4029589371,Limão Desidratado E Laranja Desidratada - 200g Cada,Vibe Naturais,Frutas Secas,54.9,54.9,0,0,0,0,0,Nao,Sim,"Birigui, São Paulo",Garantia do vendedor: 6 meses,https://produto.mercadolivre.com.br/MLB-4029589371
Limão Desidratado Rodelas,2,MLB4037656221,100g Limão + 100g Laranja Desidratado (rodelas/fatias),Paulistana Empório,Frutas Secas,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4037656221
Limão Desidratado Rodelas,3,MLB5508983264,Limão Siciliano Desidratado 500g,Daseiva Naturais,Frutas Secas,48.73,74.99,35,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-5508983264
Mix De Vegetais Desidratados 500g,1,MLB4614766301,1kg Mix Vegetais Desidratados Premium Supremo Nuts,Supremo Nuts,Frutas Secas,74,119.9,38,0,0,0,0,Nao,Sim,"Campinas, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4614766301
Mix De Vegetais Desidratados 500g,2,MLB4330316857,Mix De Vegetais Chips Legumes Desidratados 500g,Cerealista Express,Snacks Salgados,57.15,69.9,18,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 1 meses,https://produto.mercadolivre.com.br/MLB-4330316857
Mix De Vegetais Desidratados 500g,3,MLB6216586598,Kit Mix Vegetais + Mix Frutas Tropicais - 100g Cada,Paulistana Empório,Snacks Salgados,26.99,26.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6216586598
Mix De Vegetais Desidratados 500g,4,MLB6857590076,Kit Mix Vegetais + Mix Frutas Tropicais - 200g Cada,Paulistana Empório,Snacks Salgados,50,50,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6857590076
Mix De Vegetais Desidratados 500g,5,MLB4184494615,500g Mix De Vegetais Desidratados Chips Mundo Nutri,MUNDO NUTRI,Snacks Salgados,44.61,99.99,55,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-4184494615
Mix De Vegetais Desidratados 500g,6,MLB4296308106,Mix De Vegetais Chips Desidratados 500g Casa Bela,Requena,Snacks Salgados,48,109.9,56,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-4296308106
Mix De Vegetais Desidratados 500g,7,MLB6007471596,Mix De Vegetais Desidratados 200g,Requena,Snacks Salgados,21.24,34.99,39,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6007471596
Mix De Vegetais Desidratados 500g,8,MLB3991613547,Mix De Vegetais Desidratados 1kg,Requena,Snacks Salgados,179.9,179.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-3991613547
Mix De Vegetais Desidratados 500g,9,MLB6676207788,500g - Mix De Vegetais Legumes Desidratados Super Crocante,Armazém Bezerra,Frutas Secas,49.9,99.99,50,0,0,0,0,Nao,Sim,"Diadema, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-6676207788
Mix De Vegetais Desidratados 500g,10,MLB6661808898,Mix Vegetais Legumes Snacks Crocantes Natural Saudável 1kg,Essentrix,Snacks Salgados,111.38,149.86,26,0,0,0,0,Nao,Sim,"Jundiaí, São Paulo",Garantia do vendedor: 30 dias,https://produto.mercadolivre.com.br/MLB-6661808898
Mix De Vegetais Desidratados 500g,11,MLB4296573258,Mix De Vegetais Desidratados 1kg - Brasil Frutt,Brasil Frutt,Snacks Salgados,89.9,89.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4296573258
Mix De Vegetais Desidratados 500g,12,MLB4515538919,Mix De Vegetais Desidratados 1kg - Brasil Frutt,Brasil Frutt,Snacks Salgados,95.9,95.9,0,0,0,0,0,Nao,Sim,"São José dos Campos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-4515538919
Mix De Vegetais Desidratados 500g,13,MLB6025602372,Mix De Vegetais Desidratados 1kg - Brasil Frutt,Brasil Frutt,Frutas Secas,95.9,95.9,0,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6025602372
Mix De Vegetais Desidratados 500g,14,MLB6914222334,Mix De Vegetais Desidratados 1kg Premium,Cajus Delícias,Frutas Secas,89.9,149.9,40,0,0,0,0,Nao,Sim,"Arujá, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6914222334
Mix De Vegetais Desidratados 500g,15,MLB6574518814,Super Mix De Vegetais Desidratados 100% Natural Chips - 300g,Sabore,Snacks Salgados,44.71,70.9,37,0,0,0,0,Nao,Sim,"São Paulo, São Paulo",Garantia do vendedor: 7 dias,https://produto.mercadolivre.com.br/MLB-6574518814
Mix De Vegetais Desidratados 500g,16,MLB6914223956,Mix De Vegetais Desidratados - Paulistana Empório - 200g,Paulistana Empório,Frutas Secas,17.99,17.99,0,0,0,0,0,Nao,Sim,"Santos, São Paulo",Sem garantia,https://produto.mercadolivre.com.br/MLB-6914223956
