Produto,Slug_Imagem,Categoria,Benefícios_Chave,URL_GCS
Amendoim Com Sal,amendoim-com-sal,,,https://storage.googleapis.com/cocreator_content/embalagens/amendoim-com-sal.webp
Amendoim Sem Sal,amendoim-sem-sal-1,,,https://storage.googleapis.com/cocreator_content/embalagens/amendoim-sem-sal-1.webp
Tamara S Caroo,tamara-s-caroo,,,https://storage.googleapis.com/cocreator_content/embalagens/tamara-s-caroo.webp
Morango Chips Desidratado  Liofilizado,morango-chips-desidratado--liofilizado-1,,,https://storage.googleapis.com/cocreator_content/embalagens/morango-chips-desidratado--liofilizado-1.webp
Uva Passa Branca,uva-passa-branca,,,https://storage.googleapis.com/cocreator_content/embalagens/uva-passa-branca.webp
Ameixa Seca Sem Caroo,ameixa-seca-sem-caroo-1,,,https://storage.googleapis.com/cocreator_content/embalagens/ameixa-seca-sem-caroo-1.webp
Leverdura Nutricional,leverdura-nutricional,,,https://storage.googleapis.com/cocreator_content/embalagens/leverdura-nutricional.webp
Banana Passa,banana-passa,,,https://storage.googleapis.com/cocreator_content/embalagens/banana-passa.webp
Pistache Partido,pistache-partido-1,,,https://storage.googleapis.com/cocreator_content/embalagens/pistache-partido-1.webp
Ch Verde,ch-verde-1,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-verde-1.webp
Nozes Partida,nozes-partida,,,https://storage.googleapis.com/cocreator_content/embalagens/nozes-partida.webp
Anis Estrelado,anis-estrelado,,,https://storage.googleapis.com/cocreator_content/embalagens/anis-estrelado.webp
Castanha De Caju Sem Sal,castanha-de-caju-sem-sal,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-de-caju-sem-sal.webp
Pistache Partido,pistache-partido,,,https://storage.googleapis.com/cocreator_content/embalagens/pistache-partido.webp
Blueberry,blueberry,,,https://storage.googleapis.com/cocreator_content/embalagens/blueberry.webp
Eritritol,eritritol-1,,,https://storage.googleapis.com/cocreator_content/embalagens/eritritol-1.webp
Chimichurri,chimichurri-1,,,https://storage.googleapis.com/cocreator_content/embalagens/chimichurri-1.webp
Ch De Sene,ch-de-sene,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-de-sene.webp
Alfazema Azul,alfazema-azul-1,,,https://storage.googleapis.com/cocreator_content/embalagens/alfazema-azul-1.webp
Damasco Jumbo,damasco-jumbo,,,https://storage.googleapis.com/cocreator_content/embalagens/damasco-jumbo.webp
Uva Passa Branca,uva-passa-branca-1,,,https://storage.googleapis.com/cocreator_content/embalagens/uva-passa-branca-1.webp
Ch De Hibisco,ch-de-hibisco-1,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-de-hibisco-1.webp
Tamara Jumbo,tamara-jumbo-1,,,https://storage.googleapis.com/cocreator_content/embalagens/tamara-jumbo-1.webp
Amndoas Defumada,amndoas-defumada-1,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-defumada-1.webp
Castanha Do Par Quebrada,castanha-do-par-quebrada,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-do-par-quebrada.webp
Ameixa Seca Sem Caroo,ameixa-seca-sem-caroo,,,https://storage.googleapis.com/cocreator_content/embalagens/ameixa-seca-sem-caroo.webp
Mix Chips De Vegetais Chips  Desidratados,mix-chips-de-vegetais-chips--desidratados-1,,,https://storage.googleapis.com/cocreator_content/embalagens/mix-chips-de-vegetais-chips--desidratados-1.webp
Mix De Frutas Tropicais Chips  Desidratadas,mix-de-frutas-tropicais-chips--desidratadas,,,https://storage.googleapis.com/cocreator_content/embalagens/mix-de-frutas-tropicais-chips--desidratadas.webp
Semente De Girassol,semente-de-girassol-1,,,https://storage.googleapis.com/cocreator_content/embalagens/semente-de-girassol-1.webp
Goji Berry,goji-berry,,,https://storage.googleapis.com/cocreator_content/embalagens/goji-berry.webp
Mix De Frutas Tropicais Chips  Desidratadas,mix-de-frutas-tropicais-chips--desidratadas-1,,,https://storage.googleapis.com/cocreator_content/embalagens/mix-de-frutas-tropicais-chips--desidratadas-1.webp
Tamara Jumbo,tamara-jumbo,,,https://storage.googleapis.com/cocreator_content/embalagens/tamara-jumbo.webp
Psyllium Husk Flocos 90,psyllium-husk-flocos-90,,,https://storage.googleapis.com/cocreator_content/embalagens/psyllium-husk-flocos-90.webp
Oregano,oregano,,,https://storage.googleapis.com/cocreator_content/embalagens/oregano.webp
Cravo,cravo-1,,,https://storage.googleapis.com/cocreator_content/embalagens/cravo-1.webp
Anis Estrelado,anis-estrelado-1,,,https://storage.googleapis.com/cocreator_content/embalagens/anis-estrelado-1.webp
Amndoas Crua,amndoas-crua,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-crua.webp
Goji Berry,goji-berry-1,,,https://storage.googleapis.com/cocreator_content/embalagens/goji-berry-1.webp
Uva Passa Argentina,uva-passa-argentina,,,https://storage.googleapis.com/cocreator_content/embalagens/uva-passa-argentina.webp
Folha De Louro,folha-de-louro-1,,,https://storage.googleapis.com/cocreator_content/embalagens/folha-de-louro-1.webp
Tamara S Caroo,tamara-s-caroo-1,,,https://storage.googleapis.com/cocreator_content/embalagens/tamara-s-caroo-1.webp
Semente De Abobora,semente-de-abobora,,,https://storage.googleapis.com/cocreator_content/embalagens/semente-de-abobora.webp
Castanha Do Par Quebrada,castanha-do-par-quebrada-1,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-do-par-quebrada-1.webp
Blueberry,blueberry-1,,,https://storage.googleapis.com/cocreator_content/embalagens/blueberry-1.webp
Psyllium Husk Flocos 90,psyllium-husk-flocos-90-1,,,https://storage.googleapis.com/cocreator_content/embalagens/psyllium-husk-flocos-90-1.webp
Castanha De Caju C Sal,castanha-de-caju-c-sal,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-de-caju-c-sal.webp
Castanha De Caju C Sal,castanha-de-caju-c-sal-1,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-de-caju-c-sal-1.webp
Banana Passa,banana-passa-1,,,https://storage.googleapis.com/cocreator_content/embalagens/banana-passa-1.webp
Morango Chips Desidratado  Liofilizado,morango-chips-desidratado--liofilizado,,,https://storage.googleapis.com/cocreator_content/embalagens/morango-chips-desidratado--liofilizado.webp
Mix Chips De Vegetais Chips  Desidratados,mix-chips-de-vegetais-chips--desidratados,,,https://storage.googleapis.com/cocreator_content/embalagens/mix-chips-de-vegetais-chips--desidratados.webp
Bicarbonato De Sdio,bicarbonato-de-sdio,,,https://storage.googleapis.com/cocreator_content/embalagens/bicarbonato-de-sdio.webp
Amendoim Sem Sal,amendoim-sem-sal,,,https://storage.googleapis.com/cocreator_content/embalagens/amendoim-sem-sal.webp
Folha De Louro,folha-de-louro,,,https://storage.googleapis.com/cocreator_content/embalagens/folha-de-louro.webp
Chimichurri,chimichurri,,,https://storage.googleapis.com/cocreator_content/embalagens/chimichurri.webp
Leverdura Nutricional,leverdura-nutricional-1,,,https://storage.googleapis.com/cocreator_content/embalagens/leverdura-nutricional-1.webp
Amndoas Torrada E Salgada,amndoas-torrada-e-salgada-1,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-torrada-e-salgada-1.webp
Cardamomo Sementes,cardamomo-sementes,,,https://storage.googleapis.com/cocreator_content/embalagens/cardamomo-sementes.webp
Cardamomo Sementes,cardamomo-sementes-1,,,https://storage.googleapis.com/cocreator_content/embalagens/cardamomo-sementes-1.webp
Canela Em Pau,canela-em-pau,,,https://storage.googleapis.com/cocreator_content/embalagens/canela-em-pau.webp
Eritritol,eritritol,,,https://storage.googleapis.com/cocreator_content/embalagens/eritritol.webp
Oregano,oregano-1,,,https://storage.googleapis.com/cocreator_content/embalagens/oregano-1.webp
Limao Desidratado Fatias,limao-desidratado-fatias-1,,,https://storage.googleapis.com/cocreator_content/embalagens/limao-desidratado-fatias-1.webp
Alfazema Azul,alfazema-azul,,,https://storage.googleapis.com/cocreator_content/embalagens/alfazema-azul.webp
Amendoim Com Sal,amendoim-com-sal-1,,,https://storage.googleapis.com/cocreator_content/embalagens/amendoim-com-sal-1.webp
Canela Em Pau,canela-em-pau-1,,,https://storage.googleapis.com/cocreator_content/embalagens/canela-em-pau-1.webp
Limao Desidratado Fatias,limao-desidratado-fatias,,,https://storage.googleapis.com/cocreator_content/embalagens/limao-desidratado-fatias.webp
Cravo,cravo,,,https://storage.googleapis.com/cocreator_content/embalagens/cravo.webp
Semente De Girassol,semente-de-girassol,,,https://storage.googleapis.com/cocreator_content/embalagens/semente-de-girassol.webp
Nozes Partida,nozes-partida-1,,,https://storage.googleapis.com/cocreator_content/embalagens/nozes-partida-1.webp
Uva Passa Argentina,uva-passa-argentina-1,,,https://storage.googleapis.com/cocreator_content/embalagens/uva-passa-argentina-1.webp
Bicarbonato De Sdio,bicarbonato-de-sdio-1,,,https://storage.googleapis.com/cocreator_content/embalagens/bicarbonato-de-sdio-1.webp
Amndoas Defumada,amndoas-defumada,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-defumada.webp
Ch Verde,ch-verde,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-verde.webp
Amndoas Torrada E Salgada,amndoas-torrada-e-salgada,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-torrada-e-salgada.webp
Castanha De Caju Sem Sal,castanha-de-caju-sem-sal-1,,,https://storage.googleapis.com/cocreator_content/embalagens/castanha-de-caju-sem-sal-1.webp
Amndoas Crua,amndoas-crua-1,,,https://storage.googleapis.com/cocreator_content/embalagens/amndoas-crua-1.webp
Semente De Abobora,semente-de-abobora-1,,,https://storage.googleapis.com/cocreator_content/embalagens/semente-de-abobora-1.webp
Ch De Hibisco,ch-de-hibisco,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-de-hibisco.webp
Ch De Sene,ch-de-sene-1,,,https://storage.googleapis.com/cocreator_content/embalagens/ch-de-sene-1.webp
Damasco Jumbo,damasco-jumbo-1,,,https://storage.googleapis.com/cocreator_content/embalagens/damasco-jumbo-1.webp
